dataset,uniqueness_mean,uniqueness_p90,density_mean,density_p90,outlier_mean,outlier_p90,entropy,cluster_sep,n_samples,n_features,disagree5,disagree20,risk,auc_shadow_model_xgboost,auc_loss_threshold_rf,auc_lira_xgboost,auc_lira_rf,auc_loss_threshold_xgboost,auc_shadow_model_rf,auc_shadow_model_mlp,auc_lira_mlp,auc_loss_threshold_mlp
gowalla,0.1423621612162993,0.324996905905158,34.87059003009431,131.8361651920359,0.0697090474786835,0.1755314888185771,2.159181139619639,0.0914565473794937,107092.0,6.0,0.04935569416949912,0.06742380383221902,0.5099028919799623,0.5,0.5291100835258796,0.49934042794459815,0.5289475559126484,0.5,0.531860818720505,0.5000552559745556,0.4986935750389232,0.501118310702551
har,13.600440176265518,18.517619323730468,0.0790058510148673,0.1034204304175792,0.13694867250668,0.2459924485898116,3.510309300351478,0.0305618867278099,10299.0,561.0,0.06971550635984076,0.12073016797747355,0.6365416090839607,0.5499450454136632,0.7032711224915009,0.7071006223174428,0.9418113759716722,0.5600324315966716,0.6988450721885859,0.5119684470733312,0.5488886912135357,0.5070116734892438
ionosphere,3.2288687055097345,8.031858444213867,0.5805884085309184,1.1328652837474649,0.2197960035488112,0.5519781155388943,4.358640937375483,0.1644503325223922,351.0,34.0,0.16695156695156696,0.2168091168091168,0.6467097922553666,0.6026704545454545,0.6298863636363636,0.7111570680521846,0.8607058117151068,0.5395292207792207,0.7002313311688312,0.5722077922077922,0.6529124258556833,0.5510876623376624
jm1,0.642097521261695,1.316259050369263,7.744601563624668,30.346615677821735,0.06102094213751,0.1492738225147961,1.0982213841543644,0.2600789368152618,10885.0,21.0,0.24935231970601746,0.27111621497473587,0.6390704633314189,0.5744217637089281,0.6977657528967983,0.7099268833382443,0.9045402109155607,0.5759015976810353,0.6915247427770872,0.531996259656135,0.5419720167221307,0.5235849422868507
kc1,0.7419880158906019,1.9726896047592168,8.446241343737302,17.709553134308823,0.0753092324633327,0.1936595197216557,2.359848629475807,0.3507628440856933,2109.0,21.0,0.1876718824087245,0.20768136557610242,0.5940790526299602,0.5658524960205761,0.5840845526408086,0.699446446353811,0.7819947446274111,0.5546566004478538,0.5947975215158683,0.5209324442206175,0.5416331791694398,0.5033134886732555
letter,1.189204657138884,1.7220649480819703,1.0250026593443196,1.4873211427819666,0.1505489928081372,0.2394451581162106,3.091877906763914,0.0036259323824197,20000.0,16.0,0.08307,0.1727825,0.6145708219799823,0.5469960700000001,0.63764721,0.6986071487821759,0.8825459919338047,0.543266175,0.6387539775,0.5139793637500001,0.55114123585386,0.518200225
magic,0.8107164356373158,1.423551494566627,1.4935340707487388,2.093485224015663,0.1425631373172771,0.2773154842165743,4.264091550852002,0.1159143298864364,19020.0,10.0,0.2007781282860147,0.2198080967402734,0.624676657891466,0.5411295570217193,0.6864265353532338,0.6725410097031219,0.9262065359727099,0.5436526828254281,0.6832415944365386,0.5132149082652496,0.5392697128890044,0.516407384556187
mnist,16.20088208337625,23.61699028015137,0.0777900339760391,0.1203680321350597,0.1504157437114741,0.2642804841912717,1.2392445356935924,-0.0449775382876396,30000.0,784.0,0.09182,0.132045,0.65678178209255,0.5596855038888888,0.7161212444444445,0.7487530232893638,0.9756484847721074,0.5633064511111111,0.7123739905555556,0.5182227505555556,0.5948668657714798,0.5220577244444444
movielens,0.2282127360716076,0.3849840972439365,6.104595205162652,9.695966571159657,0.1013373680364415,0.2302195199243545,2.61180565747343,0.1228263899683952,6040.0,5.0,0.04728476821192053,0.0746274834437086,0.5294325555907425,0.5,0.5979561751677558,0.5106284453723081,0.5818560468683127,0.4992564470856541,0.5834182163063023,0.49998147011096006,0.5047036924977972,0.48709250690759187
mushroom,3.758007744390468,4.460205078125,0.276750659305817,0.3216704175545387,0.1922554772794161,0.2677946735611223,0.3789960646795315,0.0936391875147819,8124.0,138.0,0.0002461841457410143,0.0016248153618906942,0.5084414056319163,0.5,0.5159829389902111,0.5069292584627794,0.520519041743058,0.5008954327083335,0.5152513563158537,0.5010714419481784,0.5051850846677448,0.510138095851088
